id,section_name,description,syllabus_id
78,"Accounting as a Profession","Introduction to the principles and purposes of accounting, including careers and ethical issues.",19
79,"Accounting as a System","Understanding the accounting process, cycle, and financial statements.",19
80,"Books of Original Entry","Recording transactions using books of original entry, including cash and credit transactions.",19
81,"Ledgers and the Trial Balance","Managing ledgers and preparing the trial balance.",19
82,"Preparation and Analysis of Financial Statements","Preparing and analyzing financial statements of sole traders.",19
83,"Accounting Adjustments","Making necessary adjustments to financial statements, including depreciation and bad debts.",19
84,"Control Systems","Implementing control systems like suspense accounts and bank reconciliation statements.",19
85,"Accounting for Partnerships","Understanding partnership accounting, including profit-sharing and capital accounts.",19
86,"Accounting for Companies and Non-Profits","Managing accounts for limited liability companies, co-operatives, and non-profits.",19
87,"Manufacturing and Inventory Control","Managing manufacturing accounts and inventory control.",19
88,"Accounting for the Entrepreneur","Applying accounting knowledge in entrepreneurial settings, including payroll and budgeting.",19
89,"Module 1: Fundamentals in Chemistry","Covers atomic structure, periodic table, bonding, and introductory chemical principles.",26
90,"Module 2: Kinetics and Equilibria","Explores reaction rates, chemical equilibria, and the principles applied in various systems.",26
91,"Module 3: Chemistry of the Elements","Discusses the properties and reactions of different groups of elements and their practical applications.",26
92,"Two-Dimensional Expressive Forms","Drawing, Painting and Mixed-media, Graphics and Visual Communication, Printmaking, Textile Design and Manipulation",38
93,"Reflective Journal","Documentation of the theory, process, and practice of visual arts",38
94,"SBA Portfolio","Collection of six pieces (three from each expressive form selected)",38
299,"Grammar and Mechanics - Word Choice and Meaning","Focuses on explaining the meaning conveyed in listening and reading through word choice, grammar, punctuation, and paragraphing. Introduces students to various forms of word choice, including formal and informal, standard and non-standard, Creole, literal and figurative use, synonyms, and antonyms.",121
300,"Grammar and Mechanics - Syntax and Sentence Structure","Teaches students to identify and explain the ordering and connection of words to form sentences with particular meanings. Covers aspects of syntax such as sentence types, functions, and patterns to enhance clarity and effectiveness in both spoken and written communication.",121
301,"Grammar and Mechanics - Morphology and Word Formation","Examines morphology, the study of word forms and their effects on meaning. Encourages students to analyze components like prefixes, suffixes, tense, and number, and to apply these rules in constructing sentences that communicate precise meaning.",121
302,"Grammar and Mechanics - Punctuation and its Effects on Meaning","Focuses on recognizing punctuation marks and their roles in conveying meaning. Students learn the functions of various punctuation marks, including commas, colons, apostrophes, and ellipses, and practice applying them correctly to enhance comprehension and written expression.",121
303,"Grammar and Mechanics - Paragraphing and Structure","Teaches students to recognize the function of paragraphs in structuring material for clarity and emphasis. Focuses on identifying topic sentences, creating outlines, and evaluating the flow of ideas to ensure logical progression and effective communication.",121
304,"Informative Discourse - Analyzing Informative Texts","Teaches students to identify, understand, and analyze key elements in informative texts, such as main ideas, supporting details, and organizational patterns, to enhance comprehension of factual information.",121
305,"Informative Discourse - Structure and Purpose","Focuses on the structure and purpose of informative discourse, helping students recognize how organizational techniques convey information effectively and suit the author’s purpose.",121
306,"Informative Discourse - Language and Tone in Informative Writing","Emphasizes understanding the impact of language, tone, and style in informative texts, allowing students to identify formal, neutral, or informal tones based on audience and purpose.",121
307,"Informative Discourse - Evaluating Credibility and Reliability","Focuses on developing critical skills to assess the credibility and reliability of information sources, enhancing students’ discernment in evaluating the validity of informational content.",121
308,"Informative Discourse - Summarizing and Paraphrasing","Teaches students to effectively summarize and paraphrase information, focusing on extracting main ideas and rephrasing content accurately without altering the intended meaning.",121
309,"Literary Discourse - Analyzing Literary Elements","Introduces students to key literary elements such as plot, theme, character, and setting. Develops skills to identify and interpret these elements across genres to enhance understanding of literary works.",121
310,"Literary Discourse - Identifying and Interpreting Figurative Language","Focuses on recognizing and interpreting figurative language, including similes, metaphors, personification, and symbolism, to deepen comprehension of literary texts and enhance literary appreciation.",121
311,"Literary Discourse - Exploring Tone, Mood, and Style","Teaches students to recognize tone, mood, and style in literary texts, enhancing their ability to discern the author's attitude and the emotional effect of the text on the reader.",121
312,"Literary Discourse - Theme and Moral Interpretation","Focuses on identifying and interpreting themes and moral lessons in literature, teaching students to relate them to personal experiences and societal issues.",121
313,"Literary Discourse - Comparative Analysis Across Texts","Encourages students to compare themes, styles, and literary techniques across different texts and genres, fostering critical analysis and a deeper understanding of literary diversity.",121
314,"Argumentative Discourse - Structuring and Editing for Coherence","Teaches students to structure their argumentative essays for logical flow and coherence, with emphasis on editing techniques to ensure clarity, consistency, and adherence to argumentative conventions.",121
427,"Number Theory and Computation: Powers, Roots, and Scientific Notation","&lt;p&gt;Delve into calculations involving exponents, roots, and scientific notation to handle large and small numbers effectively.&lt;/p&gt;
&lt;p&gt;&lt;span&gt;Students will compute powers of real numbers of the form &lt;/span&gt;&lt;span class=&quot;katex&quot;&gt;&lt;span class=&quot;katex-mathml&quot;&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;semantics&gt;&lt;mrow&gt;&lt;msup&gt;&lt;mi&gt;x&lt;/mi&gt;&lt;mi&gt;a&lt;/mi&gt;&lt;/msup&gt;&lt;/mrow&gt;&lt;/semantics&gt;&lt;/math&gt;&lt;/span&gt;&lt;span class=&quot;katex-html&quot; aria-hidden=&quot;true&quot;&gt;&lt;span class=&quot;base&quot;&gt;&lt;span class=&quot;strut&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mord&quot;&gt;&lt;span class=&quot;mord mathnormal&quot;&gt;x&lt;/span&gt;&lt;span class=&quot;msupsub&quot;&gt;&lt;span class=&quot;vlist-t&quot;&gt;&lt;span class=&quot;vlist-r&quot;&gt;&lt;span class=&quot;vlist&quot;&gt;&lt;span&gt;&lt;span class=&quot;pstrut&quot;&gt;&lt;/span&gt;&lt;span class=&quot;sizing reset-size6 size3 mtight&quot;&gt;&lt;span class=&quot;mord mathnormal mtight&quot;&gt;a&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;span&gt; where &lt;/span&gt;&lt;span class=&quot;katex&quot;&gt;&lt;span class=&quot;katex-mathml&quot;&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;semantics&gt;&lt;mrow&gt;&lt;mi&gt;a&lt;/mi&gt;&lt;mo&gt;&amp;#8712;&lt;/mo&gt;&lt;mi mathvariant=&quot;double-struck&quot;&gt;Q&lt;/mi&gt;&lt;/mrow&gt;&lt;/semantics&gt;&lt;/math&gt;&lt;/span&gt;&lt;span class=&quot;katex-html&quot; aria-hidden=&quot;true&quot;&gt;&lt;span class=&quot;base&quot;&gt;&lt;span class=&quot;strut&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mord mathnormal&quot;&gt;a&lt;/span&gt;&lt;span class=&quot;mspace&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mrel&quot;&gt;∈&lt;/span&gt;&lt;span class=&quot;mspace&quot;&gt;&lt;/span&gt;&lt;/span&gt;&lt;span class=&quot;base&quot;&gt;&lt;span class=&quot;strut&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mord mathbb&quot;&gt;Q&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;span&gt;,&lt;/span&gt;&lt;/p&gt;",5
428,"Number Theory and Computation: Operations Mastery and Properties","&lt;p&gt;Delve into calculations involving exponents, roots, and scientific notation to handle large and small numbers effectively.&lt;/p&gt;",5
429,"Number Theory and Computation: Fractions, Decimals, Percents, Ratios, and Proportions","&lt;p&gt;Delve into calculations involving exponents, roots, and scientific notation to handle large and small numbers effectively.&lt;/p&gt;",5
430,"Number Theory and Computation: Factors, Multiples, and Common Divisors","&lt;p&gt;Master conversions and comparisons between fractions, decimals, percents, and apply ratios and proportions in problem-solving.&lt;/p&gt;",5
431,"Number Theory and Computation: Place Value, Base Systems, and Precision","&lt;p&gt;Build a strong foundation in number theory concepts like factors, multiples, HCF, and LCM for simplifying expressions and solving equations.&lt;/p&gt;",5
432,"Number Theory and Computation: Unit Conversions and Measurements","&lt;p&gt;Understand place value in various number bases and express values to specified precision for accurate numerical representation.&lt;/p&gt;",5
433,"Number Theory and Computation: Sequences and Patterns","&lt;p&gt;Develop competency in converting units across systems, including metric conversions and time formats, essential for scientific calculations.&lt;/p&gt;",5
434,"Number Theory and Computation: Ratios, Proportions, and Problem Solving","&lt;p&gt;Identify patterns in sequences and derive rules, supporting logical reasoning and mathematical modeling in diverse applications.&lt;/p&gt;",5
435,"Number Theory and Computation: Comprehensive Problem Solving","&lt;p&gt;Apply knowledge of ratios and proportions to solve practical problems, a key skill in science, engineering, and daily life.&lt;/p&gt;",5
436,"Consumer Arithmetic: Discounts, Profits, and Losses","&lt;p&gt;Integrate all learned concepts to tackle complex problems, enhancing critical thinking and analytical skills.&lt;/p&gt;",5
437,"Consumer Arithmetic: Installment Payments and Mortgages","&lt;p&gt;Master calculations of discounts, sales tax, profit, and loss to make informed decisions in business and personal finance.&lt;/p&gt;",5
438,"Consumer Arithmetic: Interest Calculations and Depreciation","&lt;p&gt;Delve into calculations involving exponents, roots, and scientific notation to handle large and small numbers effectively.&lt;/p&gt;",5
439,"Consumer Arithmetic: Currency Conversion and Financial Measures","&lt;p&gt;Learn to calculate simple and compound interest, appreciation, and depreciation to evaluate investments and asset values over time.&lt;/p&gt;",5
440,"Consumer Arithmetic: Managing Expenses and Investments","&lt;p&gt;Develop skills in currency conversion and solving financial problems involving various measures, essential for global commerce and personal finance.&lt;/p&gt;",5
441,"Sets: Fundamental Concepts and Representations","&lt;p&gt;Delve into calculations involving exponents, roots, and scientific notation to handle large and small numbers effectively.&lt;/p&gt;
&lt;p&gt;&lt;span&gt;Covers essential concepts such as examples and non-examples of sets, set membership, cardinality, finite and infinite sets, universal set, empty set, and complements. Different representations are included, such as descriptions, set-builder notation &lt;/span&gt;&lt;span class=&quot;katex&quot;&gt;&lt;span class=&quot;katex-mathml&quot;&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;semantics&gt;&lt;mrow&gt;&lt;mi&gt;A&lt;/mi&gt;&lt;mo&gt;=&lt;/mo&gt;&lt;mo stretchy=&quot;false&quot;&gt;{&lt;/mo&gt;&lt;mi&gt;x&lt;/mi&gt;&lt;mo&gt;:&lt;/mo&gt;&lt;mn&gt;0&lt;/mn&gt;&lt;mo&gt;&amp;#60;&lt;/mo&gt;&lt;mi&gt;x&lt;/mi&gt;&lt;mo&gt;&amp;#60;&lt;/mo&gt;&lt;mn&gt;4&lt;/mn&gt;&lt;mo separator=&quot;true&quot;&gt;,&lt;/mo&gt;&lt;mi&gt;x&lt;/mi&gt;&lt;mo&gt;&amp;#8712;&lt;/mo&gt;&lt;mi mathvariant=&quot;double-struck&quot;&gt;N&lt;/mi&gt;&lt;mo stretchy=&quot;false&quot;&gt;}&lt;/mo&gt;&lt;/mrow&gt;&lt;/semantics&gt;&lt;/math&gt;&lt;/span&gt;&lt;span class=&quot;katex-html&quot; aria-hidden=&quot;true&quot;&gt;&lt;span class=&quot;base&quot;&gt;&lt;span class=&quot;strut&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mord mathnormal&quot;&gt;A&lt;/span&gt;&lt;span class=&quot;mspace&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mrel&quot;&gt;=&lt;/span&gt;&lt;span class=&quot;mspace&quot;&gt;&lt;/span&gt;&lt;/span&gt;&lt;span class=&quot;base&quot;&gt;&lt;span class=&quot;strut&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mopen&quot;&gt;{&lt;/span&gt;&lt;span class=&quot;mord mathnormal&quot;&gt;x&lt;/span&gt;&lt;span class=&quot;mspace&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mrel&quot;&gt;:&lt;/span&gt;&lt;span class=&quot;mspace&quot;&gt;&lt;/span&gt;&lt;/span&gt;&lt;span class=&quot;base&quot;&gt;&lt;span class=&quot;strut&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mord&quot;&gt;0&lt;/span&gt;&lt;span class=&quot;mspace&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mrel&quot;&gt;&amp;lt;&lt;/span&gt;&lt;span class=&quot;mspace&quot;&gt;&lt;/span&gt;&lt;/span&gt;&lt;span class=&quot;base&quot;&gt;&lt;span class=&quot;strut&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mord mathnormal&quot;&gt;x&lt;/span&gt;&lt;span class=&quot;mspace&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mrel&quot;&gt;&amp;lt;&lt;/span&gt;&lt;span class=&quot;mspace&quot;&gt;&lt;/span&gt;&lt;/span&gt;&lt;span class=&quot;base&quot;&gt;&lt;span class=&quot;strut&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mord&quot;&gt;4&lt;/span&gt;&lt;span class=&quot;mpunct&quot;&gt;,&lt;/span&gt;&lt;span class=&quot;mspace&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mord mathnormal&quot;&gt;x&lt;/span&gt;&lt;span class=&quot;mspace&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mrel&quot;&gt;∈&lt;/span&gt;&lt;span class=&quot;mspace&quot;&gt;&lt;/span&gt;&lt;/span&gt;&lt;span class=&quot;base&quot;&gt;&lt;span class=&quot;strut&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mord mathbb&quot;&gt;N&lt;/span&gt;&lt;span class=&quot;mclose&quot;&gt;}&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;span&gt;, and listing elements.&lt;/span&gt;&lt;/p&gt;",5
442,"Sets: Relationships and Operations","&lt;p&gt;Understand the basics of set theory, including set language, notation, and types of sets, to establish a foundation for logical reasoning in mathematics.&lt;/p&gt;",5
443,"Sets: Venn Diagrams and Problem Solving","&lt;p&gt;Develop skills in identifying relationships among sets using set notation, symbols, and operations, crucial for analyzing mathematical and real-world problems.&lt;/p&gt;",5
444,"Measurement: Units, Conversions, and Basic Calculations","&lt;p&gt;Apply Venn diagrams to visually represent and solve set problems, enhancing comprehension of relationships and facilitating problem-solving.&lt;/p&gt;",5
445,"Measurement: Area, Surface Area, and Volume of Shapes","&lt;p&gt;Understand and apply appropriate units for various measurements, including length, mass, area, volume, capacity, temperature, and time, for accurate calculations.&lt;/p&gt;
&lt;p&gt;&lt;span&gt;Includes calculating areas of polygons, circles, sectors, and triangles (given two sides and the included angle), as well as surface area and volume of 3D shapes. Key formulas include the surface area of a sphere &lt;/span&gt;&lt;span class=&quot;katex&quot;&gt;&lt;span class=&quot;katex-mathml&quot;&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;semantics&gt;&lt;mrow&gt;&lt;mi&gt;A&lt;/mi&gt;&lt;mo&gt;=&lt;/mo&gt;&lt;mn&gt;4&lt;/mn&gt;&lt;mi&gt;&amp;#960;&lt;/mi&gt;&lt;msup&gt;&lt;mi&gt;r&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msup&gt;&lt;/mrow&gt;&lt;/semantics&gt;&lt;/math&gt;&lt;/span&gt;&lt;span class=&quot;katex-html&quot; aria-hidden=&quot;true&quot;&gt;&lt;span class=&quot;base&quot;&gt;&lt;span class=&quot;strut&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mord mathnormal&quot;&gt;A&lt;/span&gt;&lt;span class=&quot;mspace&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mrel&quot;&gt;=&lt;/span&gt;&lt;span class=&quot;mspace&quot;&gt;&lt;/span&gt;&lt;/span&gt;&lt;span class=&quot;base&quot;&gt;&lt;span class=&quot;strut&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mord&quot;&gt;4&lt;/span&gt;&lt;span class=&quot;mord mathnormal&quot;&gt;π&lt;/span&gt;&lt;span class=&quot;mord&quot;&gt;&lt;span class=&quot;mord mathnormal&quot;&gt;r&lt;/span&gt;&lt;span class=&quot;msupsub&quot;&gt;&lt;span class=&quot;vlist-t&quot;&gt;&lt;span class=&quot;vlist-r&quot;&gt;&lt;span class=&quot;vlist&quot;&gt;&lt;span&gt;&lt;span class=&quot;pstrut&quot;&gt;&lt;/span&gt;&lt;span class=&quot;sizing reset-size6 size3 mtight&quot;&gt;&lt;span class=&quot;mord mtight&quot;&gt;2&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;span&gt; and the volume of a sphere &lt;/span&gt;&lt;span class=&quot;katex&quot;&gt;&lt;span class=&quot;katex-mathml&quot;&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;semantics&gt;&lt;mrow&gt;&lt;mi&gt;V&lt;/mi&gt;&lt;mo&gt;=&lt;/mo&gt;&lt;mfrac&gt;&lt;mn&gt;4&lt;/mn&gt;&lt;mn&gt;3&lt;/mn&gt;&lt;/mfrac&gt;&lt;mi&gt;&amp;#960;&lt;/mi&gt;&lt;msup&gt;&lt;mi&gt;r&lt;/mi&gt;&lt;mn&gt;3&lt;/mn&gt;&lt;/msup&gt;&lt;/mrow&gt;&lt;/semantics&gt;&lt;/math&gt;&lt;/span&gt;&lt;span class=&quot;katex-html&quot; aria-hidden=&quot;true&quot;&gt;&lt;span class=&quot;base&quot;&gt;&lt;span class=&quot;strut&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mord mathnormal&quot;&gt;V&lt;/span&gt;&lt;span class=&quot;mspace&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mrel&quot;&gt;=&lt;/span&gt;&lt;span class=&quot;mspace&quot;&gt;&lt;/span&gt;&lt;/span&gt;&lt;span class=&quot;base&quot;&gt;&lt;span class=&quot;strut&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mord&quot;&gt;&lt;span class=&quot;mopen nulldelimiter&quot;&gt;&lt;/span&gt;&lt;span class=&quot;mfrac&quot;&gt;&lt;span class=&quot;vlist-t vlist-t2&quot;&gt;&lt;span class=&quot;vlist-r&quot;&gt;&lt;span class=&quot;vlist&quot;&gt;&lt;span&gt;&lt;span class=&quot;pstrut&quot;&gt;&lt;/span&gt;&lt;span class=&quot;sizing reset-size6 size3 mtight&quot;&gt;&lt;span class=&quot;mord mtight&quot;&gt;3&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;span&gt;&lt;span class=&quot;pstrut&quot;&gt;&lt;/span&gt;&lt;span class=&quot;frac-line&quot;&gt;&lt;/span&gt;&lt;/span&gt;&lt;span&gt;&lt;span class=&quot;pstrut&quot;&gt;&lt;/span&gt;&lt;span class=&quot;sizing reset-size6 size3 mtight&quot;&gt;&lt;span class=&quot;mord mtight&quot;&gt;4&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;span class=&quot;vlist-s&quot;&gt;​&lt;/span&gt;&lt;/span&gt;&lt;span class=&quot;vlist-r&quot;&gt;&lt;span class=&quot;vlist&quot;&gt;&lt;span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;span class=&quot;mclose nulldelimiter&quot;&gt;&lt;/span&gt;&lt;/span&gt;&lt;span class=&quot;mord mathnormal&quot;&gt;π&lt;/span&gt;&lt;span class=&quot;mord&quot;&gt;&lt;span class=&quot;mord mathnormal&quot;&gt;r&lt;/span&gt;&lt;span class=&quot;msupsub&quot;&gt;&lt;span class=&quot;vlist-t&quot;&gt;&lt;span class=&quot;vlist-r&quot;&gt;&lt;span class=&quot;vlist&quot;&gt;&lt;span&gt;&lt;span class=&quot;pstrut&quot;&gt;&lt;/span&gt;&lt;span class=&quot;sizing reset-size6 size3 mtight&quot;&gt;&lt;span class=&quot;mord mtight&quot;&gt;3&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;/span&gt;&lt;span&gt;.&lt;/span&gt;&lt;/p&gt;",5
446,"Measurement: Advanced Applications and Problem Solving","&lt;p&gt;Learn to calculate areas, surface areas, and volumes of geometric shapes, including complex shapes, for practical applications in science and engineering.&lt;/p&gt;",5
447,"Statistics: Data Collection and Organization","&lt;p&gt;Apply measurement concepts in real-world problem-solving, including speed, distance, time relationships, and margin of error estimation.&lt;/p&gt;",5
448,"Statistics: Data Representation and Central Tendency","Learn to represent data visually and calculate measures of central tendency, essential for summarizing and interpreting datasets effectively.",5
449,"Statistics: Dispersion and Data Analysis","&lt;p&gt;Analyze the spread of data using measures of dispersion, including range and interquartile range, and interpret trends through cumulative frequency (Ogive) curves.&lt;/p&gt;",5
450,"Statistics: Probability and Inference","&lt;p&gt;&lt;span&gt;Analyze the spread of data using measures of dispersion, including range and interquartile range, and interpret trends through cumulative frequency (Ogive) curves.&lt;/span&gt;&lt;/p&gt;",5
