id,name,code
276,"CSEC Chemistry",CSEC_CHem
277,"CSEC English Language",CSEC_EngA
278,"CSEC French",CSEC_Frenc
279,"CSEC Geography",CSEC_GEO
280,"CSEC History",CSEC_Histo
281,"CSEC Information Technology",CSEC_IT
282,"CSEC Integrated Science",CSEC_INT_S
283,"CSEC Mathematics",CSEC_Math
284,"CSEC Physics",CSEC_Phys
285,"CSEC Spanish",CSEC_Spani
286,"CSEC Visual Arts",CSEC_VA
287,"City &amp; Guilds Mathematics",CG_MATH
288,"City &amp; Guilds English","City &amp;"
289,"NSC Information Technology","NSC Inform"
290,"NSC Mathematics","NSC Mathem"
291,"NSC Language Arts","NSC Langua"
292,"NSC Integrated Science","NSC Integr"
293,"NSC Social Studies","NSC Social"
294,"NSC Visual Arts","NSC Visual"
295,"NSC Science","NSC Scienc"
296,"NSC Biology","NSC Biolog"
297,"NSC Chemistry","NSC Chemis"
298,"NSC Physics","NSC Physic"
299,"NSC Health &amp; Family Life Education","SC Health "
300,"NSC Religious Education","NSC Religi"
301,"NSC Physical Education","NSC Physic"
302,"NSC Music","NSC Music"
303,"NSC Drama","NSC Drama"
304,"NSC Dance","NSC Dance"
305,"NSC Family and Consumer Management","NSC Family"
306,"NSC Industrial Techniques","NSC Indust"
307,"NSC Business Basics","NSC Busine"
308,"NSC French","NSC French"
309,"NSC Spanish","NSC Spanis"
310,"NSC Junior Achievement Company of Entrepreneurs (JACE)","NSC Junior"
311,"CAPE French Test",C_F_Test
312,Ashleigh,asdasd
313,"G9 - PI - English Literature","G9 - PI - "
314,"G9 - PI - NSC Agriculture",G9PIAGRI
315,"G7 - PI - NSC Agriculture",G7PIAGRI
316,"G8 - PI - NSC Agriculture",G8PIAGRI
317,"G10 - CSEC Home Economics",G10HE
318,"G11 - CSEC Home Economics",G11HE
319,"G10 - CSEC Textiles, Clothing and Fashion",G10TCF
320,"G11 - CSEC Textiles, Clothing and Fashion",G11TCF
321,"G10 - City &amp; Guilds English Level 2",G1OCGEL2
322,"G11 - City &amp; Guilds English Level 2",G11CGEL2
323,"G10 - City &amp; Guilds Mathematics SII",G10CGML2
324,"G11 - City &amp; Guilds Mathematics SII",G11CGML2
325,"G10 - CSEC Mathematics SII",G10CSII
326,"G11 - CSEC Mathematics SII",G11CSII
328,"G11 - CSEC Mathematics SIII",G11CSIII
329,"G10 - City &amp; Guilds Mathematics S3",G1OCGEL3
330,"G11 - City &amp; Guilds Mathematics SIII",G11CGEL3
